band,inception,musician
Spirit Caravan,1996,Scott Weinrich
Spark,2007,Jutta Rieping
Belanova,2000,Ricardo Arreola
Southern Pacific,1983,Keith Knudsen
Stadio,1977,Gaetano Curreri
Stadio,1977,Roberto Costa
Stadio,1977,Marco Nanni
The Stylistics,1968,"Russell Thompkins, Jr."
Stadio,1977,Andrea Fornili
Stadio,1977,Roberto Drovandi
Stadio,1977,Ricky Portera
Al Tall,1975,Manolo Miralles
Al Tall,1975,Vicent Torrent
Stadio,1977,Fabio Liberatori
Old Funeral,1988,Olve Eikemo
Vertical Horizon,1991,Matt Scannell
Chinaski,1987,Q18745741
Electric Boys,1988,Conny Bloom
Chinaski,1987,Michal Novotný
The Blood Divine,1995,Benjamin Ryan
Goodnight Nurse,2001,Joel Little
Virus,2000,Carl-Michael Eide
The Bar-Kays,1966,James Alexander
The Young Professionals,2009,Ivri Lider
Cadaver,1988,Ole Moe
Freelance Whales,2008,Doris Cellar
Blondfire,2004,Bruce Driscoll
Grace Potter and the Nocturnals,2002,Grace Potter
Kid Abelha,1981,Paula Toller
The Outsiders,1965,Wally Tax
Chinaski,1987,Pavel Grohman
Cibo Matto,1994,Miho Hatori
Tiktak,1999,Petra
Treblinka,1987,Johan Edlund
Cibo Matto,1994,Yuka Honda
Anarchy Club,2004,Keith Smith
Elysian Fields,1995,Jennifer Charles
The Age of Information,2003,David Hodges
Black 47,1989,Christopher Byrne
Chinaski,1987,František Táborský
The Gits,1986,Mia Zapata
Silver Jews,1989,David Berman
Sistanova,2007,KeyLiza
Paris,1975,Bob Welch
Chinaski,1987,Marpo
Rip Rig + Panic,1981,Neneh Cherry
Chinaski,1987,Petr Rajchert
Gehenna,1993,Sanrabb
Pale Saints,1987,Ian Masters
Chinaski,1987,Jiří Seydler
Chinaski,1987,Ondřej Škoch
Shrinebuilder,2008,Scott Kelly
Cibo Matto,1994,Sean Lennon
The Real Milli Vanilli,1990,Brad Howell
Tiktak,1999,Emilia Suhonen
The Blind Boys of Alabama,1939,Jimmy Carter
The Blind Boys of Alabama,1939,Ben Moore
The Blind Boys of Alabama,1939,Joey Williams
Blotted Science,2005,Ron Jarzombek
Paatos,2000,Reine Fiske
Otyg,1995,Andreas Hedlund
The Blind Boys of Alabama,1939,Peter Levin
Ugly Casanova,2000,Isaac Brock
Tiktak,1999,Noora Puhakka
Cibo Matto,1994,Timo Ellis
Black Tape for a Blue Girl,1986,Julia Kent
Jesse & Joy,2001,Jesse Huerta
Don Caballero,1991,Damon Che
Stephen Malkmus and the Jicks,2000,John Moen
Exit-13,1989,Dave Witte
CCCP - Fedeli alla linea,1982,Giovanni Lindo Ferretti
Me & My,1991,Susanne Georgi
The Blind Boys of Alabama,1939,Paul Beasley
Appleton,2002,Natalie Appleton
Jesse & Joy,2001,Joy Huerta
Babylon Whores,1994,Ike Vil
Fanny,1969,June Millington
Agua de Annique,2007,Anneke van Giersbergen
Tribe of Gypsies,1991,Roy Z
The Outfield,1983,John Spinks
The Blind Boys of Alabama,1939,Eric “Ricky” McKinnie
Dizzy Mizz Lizzy,1988,Tim Christensen
Hinoi Team,2005,Asuka Hinoi
The Movielife,1997,Vinnie Caruana
A-Studio,1982,Baygali Serkebaev
Double Trouble,1978,Stevie Ray Vaughan
Tram 11,1996,General Woo
A-Studio,1982,Katy Topuria
Hinoi Team,2005,Hikaru Koyama
O Rappa,1993,Marcelo Falcão
The Jimmy Chamberlin Complex,2005,Jimmy Chamberlin
Pacific Gas & Electric,1967,Charlie Allen
Vio-lence,1985,Phil Demmel
Periphery,2004,Misha Mansoor
The Tangent,2002,Andy Tillison
Solas,1996,Winifred Horan
Jack's Mannequin,2004,Andrew McMahon
Dead End,1984,Morrie
Double Trouble,1978,Lou Ann Barton
Double Trouble,1978,W. C. Clark
Double Trouble,1978,Reese Wynans
Dorians,2008,Gor Sujyan
American Music Club,1982,Mark Eitzel
Fanny,1969,Alice de Buhr
Flaw,1996,Chris Volz
Double Trouble,1978,Tommy Shannon
Double Trouble,1978,Chris Layton
Parts & Labor,2002,Dan Friel
Pacific Gas & Electric,1967,Jerry Aiello
Barón Rojo,1981,Armando de Castro
Boot Camp Clik,1993,Buckshot
State of Shock,1999,Cameron Melnyk
The Delgados,1994,Stewart Henderson
Go Betty Go,2001,Nicolette Vilar
Wipers,1977,Greg Sage
Savoy,1994,Paul Waaktaar-Savoy
Sleater-Kinney,1995,Corin Tucker
Gontiti,1978,Titi Matsumura
Gontiti,1978,Masahiko Mikami
Heredeiros da Crus,1992,Avelino Ares
Mamiffer,2007,Aaron Turner
Khanate,2001,Stephen O'Malley
Man Raze,2004,Phil Collen
The Delgados,1994,Emma Pollock
The Delgados,1994,Alun Woodward
Helix,1974,Brian Vollmer
Sleater-Kinney,1995,Janet Weiss
Mamiffer,2007,Faith Coloccia
Area,1972,Demetrio Stratos
Hanatarash,1983,Yamantaka Eye
InMe,1996,Dave McPherson
Grim Reaper,1979,Steve Grimmett
Zveri,2002,Roman Bilyk
Rudimentary Peni,1980,Nick Blinko
Magnetic Man,2007,Skream
Sleater-Kinney,1995,Laura Macfarlane
M People,1990,Heather Small
Heredeiros da Crus,1992,Tonhito de Poi
Hurriganes,1971,Albert Järvinen
Severed Heads,1979,Tom Ellard
Nickel Creek,1989,Chris Thile
Kate and Anna McGarrigle,1975,Anna McGarrigle
Hurriganes,1971,Cisse Häkkinen
The Basics,2002,Gotye
A Place to Bury Strangers,2004,Oliver Ackermann
Cryptal Darkness,1993,Mark Kelson
Valkyrien Allstars,2003,Tuva Syvertsen
Rootwater,2002,Paweł Jaroszewicz
The Procussions,1998,Mr. J. Medeiros
Hanatarash,1983,Ikuo Taketani
Sleater-Kinney,1995,Carrie Brownstein
Hurriganes,1971,Remu Aaltonen
Hurriganes,1971,Ile Kallio
Azaghal,1995,Narqath
Heredeiros da Crus,1992,Antonio Novo Suárez
Los Bunkers,1999,Mauricio Basualto
Cosa Brava,2008,Fred Frith
Shihad,1988,Jon Toogood
The Black League,1998,Kimmo Luttinen
The Black League,1998,Kimmo Hiltunen
The Mad Capsule Markets,1985,Hiroshi Kyono
C.I.A.,1984,Ice Cube
Kate and Anna McGarrigle,1975,Kate McGarrigle
Sigma 6,1964,Clive Metcalfe
Spyro Gyra,1974,Jay Beckenstein
Under the Influence of Giants,2002,Aaron Bruno
Elefant,2002,Diego Garcia
Antònia Font,1999,Joan Miquel Oliver
Los Bunkers,1999,Álvaro López
The Meters,1965,George Porter
Unida,1998,John Garcia
Maritime,2003,The Dismemberment Plan
Freezepop,1999,Sean T. Drinkwater
Kudai,1999,crear
The Meters,1965,Art Neville
Sigma 6,1964,Richard Wright
Les Discrets,2003,Fursy Teyssier
Millionaire,1999,Tim Vanhamel
Freezepop,1999,Liz Enthusiasm
The Black League,1998,Taneli Jarva
Keep the Dog,1989,Jean Derome
Los Bunkers,1999,Gonzalo López
Old Man's Child,1993,Galder
Mother Mother,2005,Molly Guldemond
Sigma 6,1964,Nick Mason
Da Buzz,1999,Per Lidén
The Meters,1965,Leo Nocentelli
The Adverts,1976,T. V. Smith
Blue Angel,1979,Cyndi Lauper
Sigma 6,1964,Roger Waters
The Meters,1965,Ziggy Modeliste
The Slackers,1991,Vic Ruggiero
The Black League,1998,Maike Valanne
Mest,1995,Tony Lovato
Sherwood,2002,Nate Henry
Mazhar-Fuat-Özkan,1971,Mazhar Alanson
Pan Sonic,1993,Mika Vainio
Ziggy Marley and the Melody Makers,1979,Ziggy Marley
The Hit Parade,1984,Raymond Watts
World Party,1986,Karl Wallinger
RC Succession,1968,Kiyoshiro Imawano
Midtown,1998,Gabe Saporta
The Go-Betweens,1977,Robert Forster
Pan Sonic,1993,Sami Salo
Woods of Ypres,2002,David Gold
Mtume,1978,Hubert Eaves III
Pan Sonic,1993,Ilpo Väisänen
Mazhar-Fuat-Özkan,1971,Özkan Uğur
Mother Mother,2005,Ryan Guldemond
Mazhar-Fuat-Özkan,1971,Fuat Güner
Tappi Tíkarrass,1981,Björk
Adler's Appetite,2003,Steven Adler
Skitliv,2005,Sven Erik Kristiansen
Black Grape,1993,Shaun Ryder
The Delgados,1994,Paul Savage
Shonen Knife,1981,Naoko Yamano
Pegboy,1990,John Haggerty
Anthem,1980,Akio Shimizu
Bravo,1983,Pavel Kuzin
Bravo,1983,Róbert Semënovič Lénc
Peneři strýčka Homeboye,1993,Orion
Anthem,1980,Naoto Shibata
Bravo,1983,Mikhail Grachyov
Peneři strýčka Homeboye,1993,Vladimir 518
Anthem,1980,Eizo Sakamoto
T & N,2011,Jeff Pilson
Anthem,1980,Takamasa Ōuchi
Warumpi Band,1980,George Burarrwanga
Bravo,1983,Aleksándr Stepánovič Stepanénko
Bravo,1983,Yevgeny Khavtan
Ned's Atomic Dustbin,1987,Jonn Penney
After in Paris,2002,Patrick Chartol
Million Dollar Quartet,1956,Jerry Lee Lewis
After in Paris,2002,Claire Michael
Pond,2008,Nick Allbrook
After in Paris,2002,Jean-Michel Vallet
Million Dollar Quartet,1956,Elvis Presley
Nurse with Wound,1979,Andrew Liles
The Electric Flag,1967,Mike Bloomfield
Po' Girl,2000,The Be Good Tanyas
SCH,1983,Senad Hadžimusić Teno
Plasmatics,1977,Chosei Funahara
Million Dollar Quartet,1956,Johnny Cash
Atomkraft,1978,Tony Dolan
The Martinis,1993,Joey Santiago
Nurse with Wound,1979,John Fothergill
Sweatshop Union,2000,Kyprios
Plasmatics,1977,Wendy O. Williams
Plasmatics,1977,Jean Beauvoir
Nurse with Wound,1979,Steven Stapleton
Sam and the Womp,2009,Bloem de Ligny
Diabolical Masquerade,1993,Anders Nyström
Meathook Seed,1992,Mitch Harris
After in Paris,2003,Patrick Chartol
Million Dollar Quartet,1956,Carl Perkins
After in Paris,2003,Claire Michael
Praxis,1992,Bill Laswell
The Almost,2005,Aaron Gillespie
Deltron 3030,1999,Dan the Automator
Mills Blue Rhythm Band,1930,Red Allen
Brad,1992,Stone Gossard
After in Paris,2003,Jean-Michel Vallet
Profane Omen,1999,Jules Näveri
The Power Station,1984,Andy Taylor
The Power Station,1984,Robert Palmer
The Power Station,1984,John Taylor
The V.I.P.'s,1963,Mike Harrison
The Firm,1996,Nas
Pierre Moerlen's Gong,1978,Stefan Traub
Fred Frith Guitar Quartet,1989,Fred Frith
Papa Negro,1998,Guayi
Pierre Moerlen's Gong,1978,Hansford Rowe
Playa,1990,Smoke E. Digglera
Pierre Moerlen's Gong,1978,Benoît Moerlen
Nurse with Wound,1979,Colin Potter
Nurse with Wound,1979,Heman Pathak
The Power Station,1984,Tony Thompson
Portion Control,1980,Ian Sharp
Uriel,1967,Steve Hillage
Pierre Moerlen's Gong,1978,Pierre Moerlen
UKZ,2007,Eddie Jobson
Two,1997,Rob Halford
The Crüxshadows,1992,Rogue
Pierre Moerlen's Gong,1978,Ake Zieden
Luna,1991,Dean Wareham
H16,2003,Q12766478
Pink Fairies,1969,Paul Rudolph
1995,2008,Nekfeu
Sau,1987,Pep Sala
Manfred Mann's Earth Band,1971,Manfred Mann
Youth of Today,1985,Ray Cappo
A Storm of Light,2008,Josh Graham
Snow White's Poison Bite,2007,Allan Cotterill
Leeland,2000,Leeland Dayton Mooring
Bombaj Štampa,1982,Branko Đurić
Youth of Today,1985,John Porcelly
Mes Souliers Sont Rouges,1991,Stéphane Devineau
Anthem,1980,Yukio Morikawa
The Beat,1978,Andy Cox
The Tubes,1973,Vince Welnick
Plastiscines,2006,Marine Neuilly
The Pop Group,1977,Simon Underwood
The Beat,1978,Everett Morton
Plastiscines,2006,Anaïs Vandevyvere
Rival Schools,1999,Walter Schreifels
Slo Burn,1996,John Garcia
Tourniquet,1989,Ted Kirkpatrick
Republica,1994,Saffron
The Surfaris,1962,Bob Berryhill
The Crickets,1957,Buddy Holly
The Crickets,1957,Albert Lee
The House of Love,1986,Guy Chadwick
Stone Gods,2006,Richie Edwards
Thunderclap Newman,1969,Jimmy McCulloch
Toad the Wet Sprocket,1986,Glen Phillips
Rotterdam Terror Corps,1993,Bass-D & King Matthew
The Crickets,1957,J.I. Allison
Ezo,1982,Masaki Yamada
Toad the Wet Sprocket,1986,Dean Dinning
The Crickets,1957,Joe B. Mauldin
The Crickets,1957,Niki Sullivan
Thunderclap Newman,1969,Andy Newman
Alabama,1972,Jeff Cook
Ronny & The Daytonas,1964,John Buck Wilkin
Tiger Army,1996,Nick 13
Thunderclap Newman,1969,"John ""Speedy"" Keene"
Reverend and The Makers,2005,Jon McClure
The Beat,1978,Dave Wakeling
The Beat,1978,David Steele
Subhumans,1980,Dick Lucas
The Beat,1978,Saxa
Alabama,1972,Randy Owen
The Seeds,1965,Sky Saxon
Plastiscines,2006,Louise Basilien
The Beat,1978,Ranking Roger
Plastiscines,2006,Katty Besnard
Asa de Águia,1987,Durval Lélys
Armistice,2010,Jay Malinowski
Arab on Radar,1997,Eric Paul
Arma Angelus,1998,Pete Wentz
Anarbor,2003,Slade Echeverria
Art Department,2010,Kenny Glasgow
Alisa,1983,Q4105671
Alisa,1983,Q4272899
Alisa,1983,Q4406716
Armistice,2010,Cœur de pirate
Aristide Padygros,1971,Alain Monney
Catherine Ribeiro + Alpes,1968,Alpes
Artefact,1977,Éric Vennettilli
Antibalas,1998,Martín Perna
Alisa,1983,Konstantin Kinchev
Alliage,1996,Quentin Elias
Aristide Padygros,1971,Olivier Cabanel
Catherine Ribeiro + Alpes,1968,Catherine Ribeiro
Artefact,1977,Maurice G. Dantec
An Albatross,1999,Kyle Fisher
Akiyo,1978,Marcel Lollia
The Apples in Stereo,1992,Robert Schneider
Les Charlots,1966,Luis Rego
Les Charlots,1966,Gérard Filippelli
The Apples in Stereo,1992,Chris Parfitt
Funeral Mist,1993,Daniel Rostén
Bane,1995,Aaron Bedard
Les Savy Fav,1995,Tim Harrington
Rentrer en Soi,2001,Satsuki
Les Charlots,1966,Gérard Rinaldi
La Ley,1987,Beto Cuevas
Was (Not Was),1979,David Was
The Apples in Stereo,1992,Chris McDuffie
The Apples in Stereo,1992,Hilarie Sidney
Les Charlots,1966,Jean-Guy Fechner
All Angels,2006,Laura Wright
Weidorje,1976,Bernard Paganotti
Superchunk,1989,Mac McCaughan
Barricada,1982,El Drogas
The Raincoats,1977,Ana da Silva
The Gerogerigegege,1985,Juntaro Yamanouchi
The Raincoats,1977,Palmolive
Eyes Adrift,2002,Krist Novoselic
The Watson Twins,2000,Leigh Watson
The Whooliganz,1991,Scott Caan
We Are Defiance,2009,Brian Calzini
DarkSun,2002,Rafael Yugueros
Firehouse Five Plus Two,1948,Frank Thomas
The Watson Twins,2000,Chandra Watson
Firehouse Five Plus Two,1948,Harper Goff
Firehouse Five Plus Two,1948,Ward Kimball
Lillasyster,2006,Martin Westerstrand
Firehouse Five Plus Two,1948,Erdman Penner
Les Charlots,1966,Jean Sarrus
Firehouse Five Plus Two,1948,Clarke Mallery
The Apples in Stereo,1992,Bill Doss
The Apples in Stereo,1992,John Ferguson
The Apples in Stereo,1992,John Hill
The Apples in Stereo,1992,Jim McIntyre
Free Kitten,1992,DJ Spooky
Muff Potter,1993,Thorsten Nagelschmidt
The Amboy Dukes,1964,Ted Nugent
Motorpsycho,1989,Hans Magnus Ryan
The Draft,2006,Chris Wollard
The Firebird Band,1996,Chris Broach
Timo Rautiainen & Trio Niskalaukaus,1997,Timo Rautiainen
Timo Rautiainen & Trio Niskalaukaus,1997,Arto Alaluusua
Wardruna,2003,Einar Selvik
Free Kitten,1992,Kim Gordon
Free Kitten,1992,Yoshimi P-We
Gin Blossoms,1987,Bill Leen
Pinkly Smooth,2001,The Rev
Blanche,2002,Dan John Miller
The Gracious Few,2009,Kevin Martin
Timo Rautiainen & Trio Niskalaukaus,1997,Valtteri Revonkorpi
The Horrible Crowes,2011,Brian Fallon
Play,2001,Anaïs Lameche
The Axis of Awesome,2006,Jordan Raskopoulos
Timo Rautiainen & Trio Niskalaukaus,1997,Jari Huttunen
Spray,2001,Ricardo Autobahn
Timo Rautiainen & Trio Niskalaukaus,1997,Teppo Haapasalo
Mystery Jets,2004,Blaine Harrison
Timo Rautiainen & Trio Niskalaukaus,1997,Seppo Alvari
Team Dresch,1993,Donna Dresch
The Haters,1979,GX Jupitter-Larsen
Monaco,1995,Peter Hook
Timo Rautiainen & Trio Niskalaukaus,1997,Jarkko Petosalmi
Timo Rautiainen & Trio Niskalaukaus,1997,Nils Ursin
Tarnation,1992,Paula Frazer
Radio Stars,1977,Chris Townson
Toxic Holocaust,1999,Joel Grind
Toxic Holocaust,1999,Phil Zeller
The D4,1998,Dion Lunadon
My Ruin,1999,Tairrie B
"Raz, Dwa, Trzy",1990,Adam Nowak
The Hondells,1964,Chuck Girard
Mission of Burma,1979,Clint Conley
Mission of Burma,1979,Peter Prescott
Mission of Burma,1979,Roger Miller
Team Dresch,1993,Kaia Wilson
VOTA,1997,Bryan Olesen
Rabbitt,1972,Trevor Rabin
Psychic TV,1982,Peter Christopherson
Mão Morta,1984,Adolfo Luxúria Canibal
Team Dresch,1993,Jody Bleyle
Street Sweeper Social Club,2006,Tom Morello
Raphael,1997,Yuki Sakurai
Mono Puff,1995,John Flansburgh
Mission of Burma,1979,Bob Weston
Mission of Burma,1979,Martin Swope
The Be Good Tanyas,1999,Jolie Holland
The Ascendicate,2008,Ryan Helm
The Alpha Band,1976,T-Bone Burnett
Raphael,1997,Kazuki Watanabe
The Hondells,1964,Gary Usher
The Hidden Hand,2002,Scott Weinrich
The Association,1965,Larry Ramos
ABN,2003,Trae tha Truth
Celtic Fiddle Festival,1993,Kevin Burke
Psychic TV,1982,Fred Giannelli
Psychic TV,1982,Alex Fergusson
The Be Good Tanyas,1999,Frazey Ford
Echobrain,2000,Dylan Donkin
Thanatos,1984,Q18649132
Psychic TV,1982,John Balance
Psychic TV,1982,Larry Thrasher
The Brunettes,1998,Jonathan Bree
Orleans,1972,Larry Hoppen
The Wailers Band,1981,Earl Lindo
The Brandos,1985,Dave Kincaid
Cadaveria,2001,Frank Booth
Bob Marley and the Wailers,1963,Bunny Wailer
Bob Marley and the Wailers,1963,Judy Mowatt
Bob Marley and the Wailers,1963,The Wailers
Bob Marley and the Wailers,1963,"Earl ""Chinna"" Smith"
Bob Marley and the Wailers,1963,Bob Marley
The Folk Implosion,1993,Lou Barlow
Psychic TV,1982,Genesis P-Orridge
Psychic TV,1982,David Tibet
Bob Marley and the Wailers,1963,Rita Marley
Bob Marley and the Wailers,1963,"Alvin ""Seeco"" Patterson"
Tubeway Army,1976,Gary Numan
Cadaveria,2001,Cadaveria
Bob Marley and the Wailers,1963,Al Anderson
Missing Persons,1980,Warren Cuccurullo
Bob Marley and the Wailers,1963,Carlton Barrett
Bob Marley and the Wailers,1963,Earl Lindo
The Glitter Band,1973,Peter Phipps
Rotary Connection,1966,Minnie Riperton
Bob Marley and the Wailers,1963,Junior Marvin
The Wailers Band,1981,Aston Barrett
The Mar-Keys,1958,Steve Cropper
Cadaveria,2001,Flegias
The Chambers Brothers,1954,Joseph Chambers
The Chambers Brothers,1954,Lester Chambers
Free Kitten,1992,Julia Cafritz
Most Precious Blood,2001,Justin Lee Brannan
Cadaveria,2001,John KillerBob
Bob Marley and the Wailers,1963,Marcia Griffiths
Bob Marley and the Wailers,1963,Tyrone Downie
Moxy,1974,Earl Johnson
Bob Marley and the Wailers,1963,Donald Kinsey
The Chambers Brothers,1954,Brian Keenan
The Chambers Brothers,1954,Willie Chambers
Vermont,1999,Davey von Bohlen
Bow Wow,1975,Kyoji Yamamoto
The Family Dogg,1966,Albert Hammond
Tedeschi Trucks Band,2010,Susan Tedeschi
Bob Marley and the Wailers,1963,Peter Tosh
Bob Marley and the Wailers,1963,Cherry Smith
Bob Marley and the Wailers,1963,Constantine Walker
Indian Ocean,1990,Susmit Sen
Ween,1984,Andrew Weiss
The Starting Line,1999,Kenny Vasoli
Bob Marley and the Wailers,1963,Junior Braithwaite
Bob Marley and the Wailers,1963,Aston Barrett
Bob Marley and the Wailers,1963,Beverley Kelso
Diddy – Dirty Money,2009,Sean Combs
Psyche,1982,Darrin Huss
Aurora Borealis,1994,Tony Laureano
Radio Birdman,1974,Rob Younger
Hapshash and the Coloured Coat,1967,Michael English
Quiet Sun,1970,Phil Manzanera
NRBQ,1967,Terry Adams
Anonymus,1989,Marco Calliari
Stetsasonic,1979,Prince Paul
The Teardrop Explodes,1978,Julian Cope
21st Century Schizoid Band,2002,Ian McDonald
Nashville Pussy,1996,Blaine Cartwright
Smyslovye Gallyutsinatsii,1989,Q22283670
Smyslovye Gallyutsinatsii,1989,Q60828729
Master,1987,Q4147960
Master,1987,Q16712310
Kirpichi,1995,Q4105016
Undervud,1995,Q4249961
Undervud,1995,Vladimir Tkachenko
Smyslovye Gallyutsinatsii,1989,Sergey Bobunec
The Moonglows,1953,Harvey Fuqua
Naer Mataron,1994,Giorgos Germenis
The Cats,1965,Piet Keizer
The Cats,1965,Piet Veerman
The Cats,1965,Arnold Mühren
Dadafon,1995,Kristin Asbjørnsen
Chorny Kofe,1981,Dmitry Varshavsky
Sister Hazel,1993,Ken Block
The Blue Nile,1981,Paul Buchanan
The Creatures,1981,Siouxsie Sioux
Catharsis,1996,Q4298420
Catharsis,1996,Q18634321
The Cats,1965,Cees Veerman
The Cats,1965,Jaap Schilder
Sol Invictus,1987,Tony Wakeford
The Wailin' Jennys,2002,Ruth Moody
Neverstore,2000,Erik Lantz
De Facto,1998,Cedric Bixler-Zavala
Whitehorse,2010,Melissa McClelland
Dead Child,2006,David Pajo
X Clan,1989,Brother J
AM Conspiracy,2005,Jason Jones
Destroy the Runner,2004,Chad Ackerman
Whitehorse,2010,Luke Doucet
Beautiful Sin,2005,Carl Johan Grimmark
Beautiful Sin,2005,Axel Mackenrott
The Mugwumps,1964,Cass Elliot
Tambalane,2003,Wes Carr
The Dirtbombs,1992,Mick Collins
Thou Art Lord,1993,Spiros Antoniou
The Hours,2004,Antony Genn
The Midnighters,1952,Johnny Otis
Beautiful Sin,2005,Magali Luyten
Themselves,1997,Doseone
The Steampacket,1965,Long John Baldry
The Wailin' Jennys,2002,Nicky Mehta
Himekami,1980,Yoshiaki Hoshi
Neverstore,2000,Oscar Kempe
Lillix,1997,Louise Burns
Major Lazer,2009,Jillionaire
Band of Joy,1966,Robert Plant
Beautiful Sin,2005,Steinar Krokmo
The Icicle Works,1980,Ian McNabb
The Pink Spiders,2003,Matt Friction
Beautiful Sin,2005,Uli Kusch
The Wailin' Jennys,2002,Heather Masse
ReVamp,2009,Floor Jansen
Chacho Brodas,2007,Griffi
Beautiful Sin,2005,Jørn Viggo Lofstad
The Royal Teens,1956,Bob Gaudio
Dana Lynn,1989,Troy von Balthazar
Australian Crawl,1978,Simon Binks
The Upsetters,1953,Little Richard
The Royal Teens,1956,Al Kooper
Fraternity,1973,Bon Scott
J.M.K.E.,1986,Villu Tamme
The Swingers,1979,Phil Judd
Bazooka Joe,1970,John Ellis
Bell Biv DeVoe,1989,Ricky Bell
The Royal Teens,1956,Buddy Randell
Battle of Mice,2005,Julie Christmas
Delakota,1997,Cass Browne
Dead Poetic,1997,Brandon Rike
Digable Planets,1992,Ishmael Butler
Conjure One,1997,Rhys Fulber
Les Wriggles,1995,Stéphane Gourdon
The Walls,1998,Steve Wall
Les Wriggles,1995,Frédéric Volovitch
Dogstar,1991,Keanu Reeves
Time Requiem,2001,Richard Andersson
The Roches,1973,Terre Roche
Sweet 75,1995,Krist Novoselic
Then Jerico,1983,Mark Shaw
The Roches,1973,Margaret Roche
World Classic Rockers,1995,Nick St. Nicholas
Denali,2000,Cam DiNunzio
Diffuser,1994,Tomas Costanza
Les Wriggles,1995,Franck Zerbib
Carpe Tenebrum,1997,Stian Arnesen
Les Wriggles,1995,Christophe Gendreau
The Roches,1973,Suzzy Roche
Les Wriggles,1995,Antoine Réjasse
Death Ambient,1995,Fred Frith
Fuel,1989,Carl Bell
Electric Sun,1978,Uli Jon Roth
Axis Point,1978,"John ""Charlie"" Whitney"
Valkyre,2005,Kristell Lowagie
The Scientists,1978,Kim Salmon
The Shondes,2006,Louisa Rachel Solomon
Major Lazer,2009,Diplo
Neverstore,2000,Jacob Widén
Major Lazer,2009,Switch
The Roxx,1984,Hermann Janowitz
Nationalteatern,1972,Ulf Dageby
Devil in a Woodpile,1998,Tom V. Ray
Daughters,2001,Alexis S.F. Marshall
Kolovrat,1994,Q15065310
The Barking Dogs,1988,Jason Barnard
Dolly,2005,Mitsu
Nerf Herder,1994,Parry Gripp
Sludgeworth,1989,Dan Vapid
Obtained Enslavement,1989,Pest
The Monks,1979,John Ford
Bleizi Ruz,1973,Gaël Nicol
Bleizi Ruz,1973,David Hopkins
Okamoto's,2006,Reiji Okamoto
Okamoto's,2006,Shō Okamoto
Habanot Nechama,2004,Karolina
Skara Brae,1970,Dáithí Sproule
Aina,2003,Sascha Paeth
Skolvan,1984,Dominique Molard
Sarmalele Reci,1993,Kumm
Neverne Bebe,1993,Milan Đurđević
Bellini,2004,Damon Che
Habanot Nechama,2004,Dana Adini
Neverne Bebe,1993,Jana Šušteršič
Neverne Bebe,1993,Saša Ranđelović
Skolvan,1984,Youenn Le Bihan
Sharko,1997,David Bartholomé
Be-Bop Deluxe,1972,Bill Nelson
Shriekback,1981,Barry Andrews
Neon Boys,1972,Richard Hell
Super Junior-K.R.Y.,2006,Cho Kyuhyun
Super Junior-K.R.Y.,2006,Kim Ryeowook
Okamoto's,2006,Hama Okamoto
Biff Bang Pow!,1983,Alan McGee
Skolvan,1984,Yann-Fañch Perroches
Neverne Bebe,1993,Vladan Đurđević
Okamoto's,2006,Masaru Okamoto
Medicine,1990,Brad Laner
Neverne Bebe,1993,Tijana Sretković
Lazy,1977,Hironobu Kageyama
New Musik,1977,Tony Mansfield
In Lingua Mortua,1999,Trond Bråthen
Super Junior-K.R.Y.,2006,Yesung
Amesoeurs,2004,Neige
Sarke,2008,Cyrus
Animetal,1996,Eizo Sakamoto
Skolvan,1984,Loig Troël
Arab Strap,1995,Malcolm Middleton
Neverne Bebe,1993,Bane Jelic
Patto,1970,Mike Patto
