person,child
Bob Orton,Barry Orton
Gordon Gray,Burton C. Gray
Joseph McIlvaine,Bowes R. McIlvaine
Benjamin Henry Latrobe,John H. B. Latrobe
Jim Hanks,James J. Hanks
Road Warrior Animal,James Laurinaitis
J. Stuart Blackton,Violet Virginia Blackton
Oliver Wolcott,Mary Ann Wolcott Goodrich
Benjamin Henry Latrobe,Henry Sellon Boneval Latrobe
Albert Ammons,Gene Ammons
Oliver Wolcott,Oliver Wolcott
Jimmy Raney,Doug Raney
Jim Hogg,Ima Hogg
Philip K. Wrigley,William Wrigley III
Philip Pendleton Barbour,Sextus Barbour
Johnny Otis,Shuggie Otis
Bernard Dwork,Cynthia Dwork
John Tyler,Anne Contesse Tyler
John Tyler,Christiana Booth Tyler
John Tyler,Elizabeth Armistead Tyler
John Tyler,Maria Henry Tyler
John Tyler,Wat Henry Tyler
Walter Connolly,Ann Connolly
Albert Baez,Mimi Fariña
Bill France,"Bill France, Jr."
Kenny Drew,"Kenny Drew, Jr."
Gordon Gray,C. Boyden Gray
Paul Winchell,April Winchell
Bill France,Jim France
"August Belmont, Jr.",Morgan Belmont
Nydia Westman,Kate Williamson
Augustine Washington,George Washington
Augustine Washington,Lawrence Washington
Augustine Washington,Charles Washington
Gory Guerrero,Mando Guerrero
Harry Davenport,Arthur Rankin
Paul Hamilton,Archibald Hamilton
"August Belmont, Jr.",Raymond Belmont II
Richard C. Sarafian,Tedi Sarafian
Sue Ellen Ewing,John Ross Ewing III
Gory Guerrero,Héctor Guerrero
Gory Guerrero,Chavo Guerrero Sr.
Eugene Jolas,Tina Jolas
Richard C. Sarafian,Deran Sarafian
Augustine Washington,Betty Washington Lewis
"William Pettus Hobby, Sr.","William Pettus Hobby, Jr."
Augustine Washington,"Augustine Washington, Jr."
Augustine Washington,John Augustine Washington
Ross Geller,Ben Geller
Gory Guerrero,Eddie Guerrero
Mystique,Graydon Creed
Harry Davenport,Kate Davenport
Roy Campanella,Roy Campanella II
Henry Morrison Flagler,Harry Harkness Flagler
Augustine Washington,Samuel Washington
Harry Davenport,Dorothy Davenport
Jeremiah S. Black,Chauncey Forward Black
Madelyne Pryor,Cable
Eddie Levert,Gerald Levert
Augustine Washington,Augustine Washington
William Blount,William Grainger Blount
Ross Geller,Emma Geller-Green
Augustine Washington,Mildred Washington
Augustine Washington,Butler Washington
Augustine Washington,Jane Washington
Bill Mumy,Liliana Mumy
Bill Mumy,Seth Mumy
Jay Haas,Bill Haas
Vito Corleone,Michael Corleone
Norman Maclean,John Norman Maclean
Ann Dunham,Barack Obama
Pebe Sebert,Kesha
Asa Griggs Candler,Lucy Beall Candler Owens Heinz Leide
Vito Corleone,Connie Corleone
David Brinkley,Joel Brinkley
Ann Dunham,Maya Soetoro-Ng
Pete Rose,"Pete Rose, Jr."
Plastic Man,Offspring
John Musker,Jackson Musker
Vito Corleone,Fredo Corleone
S. Robson Walton,Carrie Walton Penner
Joel Madden,Sparrow Madden
Elmer Ambrose Sperry,Lawrence Sperry
Melvin Purvis,Alston Purvis
Horace Heidt,"Horace Heidt, Jr."
Vito Corleone,Sonny Corleone
Vito Corleone,Tom Hagen
Richard Castle,Alexis Castle
Randy Mamola,Dakota Mamola
Black Lightning,Lightning
Black Lightning,Thunder
Eugene Jolas,Betsy Jolas
Zalman Teitelbaum,Q16725986
James K. Vardaman,"James K. Vardaman, Jr."
Ian Roderick Macneil,Andrew Ian Macneil
Ian Roderick Macneil,Duncan James Macneil
Ian Roderick Macneil,Jennifer Lee Macneil
Ian Roderick Macneil,"Roderick Wilson Macneil of Barra, younger"
Victor Newman,Abby Carlton
Frederick A. Tallmadge,Julia Tallmadge Noyes
Mystique,Rogue
Henry Tazewell,Littleton Waller Tazewell
Mystique,Nightcrawler
Benjamin Pierce,Charlotte Pierce
Dee Brown,Lexie Brown
Charles E. Bohlen,Avis Bohlen
Ava Lowle Willing,Vincent Astor
Benjamin Pierce,Elizabeth Pierce
Benjamin Pierce,Charles Grandison Pierce
Benjamin Pierce,Harriet B. Pierce
Benjamin Pierce,Henry Dearborn Pierce
Benjamin Pierce,John Sullivan Pierce
Benjamin Pierce,Nancy Pierce
Benjamin Tallmadge,Frederick A. Tallmadge
Ben Barzman,Paolo Barzman
Carlos Santana,Salvador Santana
Ben Carson,Murray Carson
Dave Duncan,Shelley Duncan
Linda Thompson,Brody Jenner
Ben Carson,Rhoeyce Carson
Edwin Booth,Edwina Booth Grossman
Ben Carson,Ben Carson Jr.
Barry Mann,Jenn Berman
Barron Hilton,Daniel Kevin Hilton
Barron Hilton,David Alan Hilton
Barron Hilton,Hawley Anne Hilton
Barron Hilton,Ronald Jeffrey Hilton
Barron Hilton,Sharon Constance Hilton
Barron Hilton,Stephen Michael Hilton
Barron Hilton,"William Barron Hilton, Jr."
Ted Mosby,Ted's daughter
Robby Benson,Zephyr Benson
Robby Benson,Lyric Benson
Langdon Warner,Caleb Warner
Francišak Kušal,Q65099598
Francišak Kušal,Q65116776
Philip G. Epstein,Leslie Epstein
Ted Mosby,Ted's son
"Benjamin Pickman, Jr.",Benjamin T. Pickman
Linda Thompson,Brandon Jenner
Beatrice Gray,Billy Gray
Ozzie Nelson,David Nelson
Ozzie Nelson,Ricky Nelson
Baker Knight,Tuesday Knight
Thomas Sully,Alfred Sully
Benjamin Tallmadge,William Smith Tallmadge
Benjamin Tallmadge,Maria Tallmadge Cushman
Thomas Sully,Rosalie Sully
Benjamin Tallmadge,"Benjamin Tallmadge, Jr."
"Junius Brutus Booth, Jr.",Sydney Booth
Thomas Sully,Thomas Wilcocks Sully
John Casablancas,Julian Casablancas
Ben Burtt,Benjamin A. Burtt
Steve Forbes,Moira Forbes
Bert Glennon,James Glennon
Albert W. Tucker,Alan Tucker
Benjamin Franklin Butler,William Allen Butler
Benjamin Pierce,Franklin Pierce
Barry Van Dyke,Shane Van Dyke
Barbara Turner,Jennifer Jason Leigh
Babette Deutsch,Adam Yarmolinsky
Barbara Turner,Mina Badie
Jack Donohue,Tom Rolf
"Mary Curzon, Baroness Curzon of Kedleston","Irene Curzon, 2nd Baroness Ravensdale"
Alanson B. Houghton,Amory Houghton
Albert W. Tucker,Thomas W. Tucker
Stephen Thompson,Stephen Thompson Jr.
Stephen Thompson,Ethan Thompson
Benjamin Franklin Butler,Blanche Butler Ames
Ava Lowle Willing,Ava Alice Muriel Astor
Barron Hilton,Richard Hilton
"Benjamin Silliman, Sr.","Benjamin Silliman, Jr."
Basil Wolverton,Monte Wolverton
Benjamin Pierce,Benjamin Kendrick Pierce
Warlord,Jennifer Morgan
"Mary Curzon, Baroness Curzon of Kedleston",Lady Alexandra Curzon
James J. Hill,Louis W. Hill
Benjamin Franklin Butler,Lydia Allen Butler
"Mary Curzon, Baroness Curzon of Kedleston",Lady Cynthia Mosley
Benjamin Grubb Humphreys II,William Y. Humphreys
Jack Donohue,Jill Donohue
Luzon B. Morris,Mary Seymour Morris
Joseph Reed,Joseph Reed
Birch Bayh,Evan Bayh
Redfield Proctor,"Redfield Proctor, Jr."
William Henry Bissell,Maria Bissell Hotchkiss
William Livingston,Henry Brockholst Livingston
Winthrop Rockefeller,Winthrop Paul Rockefeller
William Livingston,Sarah Jay
"Forrest Hood James, Jr.",Tim James
Gabriel Holmes,Theophilus H. Holmes
John Gayle,Amelia Gayle Gorgas
Albert Houston Roberts,Helen Lenore Roberts
Larry Hennig,Curt Hennig
George T. Mickelson,George S. Mickelson
Samuel Bell,James Bell
Bing Russell,Kurt Russell
Samuel Bell,Luther Vose Bell
Thomas G. Jones,Walter Burgwyn Jones
Samuel Pearson Goddard Jr.,Terry Goddard
William Allen Egan,Dennis Egan
Bill Melendez,Steven C. Melendez
Thomas Nelson,Mary Nelson
Thomas Nelson,Susanna Nelson
Leverett Saltonstall,William L. Saltonstall
Thomas Mann Randolph,Anne Cary Randolph Bankhead
Joshua L. Martin,John Mason Martin
Thomas Mann Randolph,Virginia Jefferson Randolph Trist
Thomas Mann Randolph,James Madison Randolph
Thomas Mann Randolph,Benjamin Franklin Randolph
Morgan Lewis,Margret Lewis
Thomas Mann Randolph,Ellen Wayles Randolph Coolidge
Thomas Mann Randolph,George W. Randolph
Thomas Mann Randolph,Thomas Jefferson Randolph
Thomas Mann Randolph,Cornelia J. Randolph
Matthew Griswold,Roger Griswold
Thomas Mann Randolph,Mary Jefferson Randolph
Richard Yates,Richard Yates
Thomas Mann Randolph,Meriwether Lewis Randolph
Clifford Hansen,Mary Mead
"William Backhouse Astor, Sr.",John Jacob Astor III
Robert M. Patton,William Patton
Bill Lawrence,Charlotte Lawrence
Thomas Mann Randolph,Septimia Randolph Meikleham
"William Backhouse Astor, Sr.",Henry Astor
Max Factor,"Max Factor, Jr."
William Moore,Elizabeth Moore
Richard Dobbs Spaight,Richard Dobbs Spaight
Richard Elfman,Bodhi Elfman
William Dennison,William Neil Dennison
Mister Fantastic,Franklin Richards
Robert F. Stockton,John P. Stockton
Mister Fantastic,Valeria Richards
Blanche Bruce,Roscoe Conkling Bruce
John Davis,Horace Davis
Bill Koch,Will Koch
David Pryor,Mark Pryor
Bill Self,Tyler Self
Stephen Decatur Miller,Mary Boykin Chesnut
Mills E. Godwin,Becky Godwin
John Davis,Bancroft Davis
William Scranton,William Scranton III
Bill Elliott,Chase Elliott
"William Backhouse Astor, Sr.","William Backhouse Astor, Jr."
Mordecai Bartley,Thomas W. Bartley
Hezekiah L. Hosmer,Hezekiah Lord Hosmer
Julius Sterling Morton,Joy Morton
Milward L. Simpson,Pete Simpson
Ralph Herseth,Lars Herseth
Blanche Knopf,"Alfred A. Knopf, Jr."
Erastus Fairbanks,Franklin Fairbanks
Jonathan Trumbull,John Trumbull
Jonathan Trumbull,Jonathan Trumbull
Milward L. Simpson,Alan K. Simpson
Robert M. La Follette,Fola La Follette
Thomas Nelson,Hugh Nelson
Erastus Fairbanks,Horace Fairbanks
Thomas Nelson,Francis Nelson
"William Backhouse Astor, Sr.",Emily Astor
"William Backhouse Astor, Sr.",Mary Alida Astor
"William Backhouse Astor, Sr.",Sarah Astor
"William Backhouse Astor, Sr.",Laura Astor
John Gilbert Winant,"John Gilbert Winant, Jr."
John Gilbert Winant,Constance Winant
John Gilbert Winant,Rivington Russell Winant
Henry S. Thibodaux,Bannon Goforth Thibodeaux
Robert M. La Follette,Philip La Follette
Robert M. La Follette,Robert M. La Follette Jr.
Wilson Goode,"W. Wilson Goode, Jr."
David L. Boren,Dan Boren
David P. Buckson,Eric Buckson
Jonathan Trumbull,Joseph Trumbull
Redfield Proctor,Fletcher D. Proctor
Bobby Bowden,Terry Bowden
John M. Patton,Waller T. Patton
Boris Sagal,Liz Sagal
Leopold Eidlitz,Cyrus L. W. Eidlitz
"Walter J. Kohler, Sr.","Walter J. Kohler, Jr."
Scott M. Matheson,Jim Matheson
Henry Lippitt,Henry F. Lippitt
Robert Allen,Ted Baehr
Cornelius P. Van Ness,James Van Ness
Luis Muñoz Marín,Victoria Muñoz Mendoza
Boris Sagal,Jean Sagal
Peter Matthiessen,Alex Matthiessen
John Chafee,Lincoln Chafee
"Walter J. Kohler, Jr.",Terry Kohler
Henry Lippitt,Charles W. Lippitt
Boris Morros,Q77952747
Bob Cochran,Jimmy Cochran
Scott M. Matheson,"Scott Matheson, Jr."
John M. Patton,"George S. Patton, Sr."
George P. Wetmore,Edith Wetmore
Cliff Arquette,Lewis Arquette
James Bowdoin,James Bowdoin III
Paul Dillingham,William Paul Dillingham
Ingeborg Rapoport,Tom Rapoport
James Hartness,Helen Hartness Flanders
John Evans,Anne Evans
Bob Knight,Pat Knight
John H. Sununu,John E. Sununu
William Pope Duval,John Crittenden Duval
Boris Sidis,William James Sidis
William Borah,Paulina Longworth Sturm
Ingeborg Rapoport,Michael Rapoport
James Bowdoin,Elizabeth Bowdoin
George Corbin Washington,Lewis Washington
John Peter Richardson II,John Peter Richardson III
Jonas Galusha,Elon Galusha
William Greene,Ray Greene
William Pope Duval,Burr H. Duval
Robert Menendez,Alicia Menendez
Cornelius P. Comegys,Joseph P. Comegys
William Pope Duval,Thomas Howard DuVal
John H. Sununu,Chris Sununu
Bobby Allison,Davey Allison
Bobby Allison,Clifford Allison
Bobby Bowden,Tommy Bowden
Roger Sherman Baldwin,Simeon Eben Baldwin
Boris Sagal,Katey Sagal
Henry Middleton,Williams Middleton
George Docking,Robert Docking
Bobby Bowden,Jeff Bowden
Orville Freeman,Michael O. Freeman
Jack Haley,"Jack Haley, Jr."
Jonathan Arnold,Lemuel Hastings Arnold
Bridget Fonda,Oliver Elfman
Roy Jenson,Martin Jensen
Alf Clausen,Scott Clausen
Roy Jenson,Sasha Jenson
Donna Summer,Brooklyn Sudano
Donna Summer,Amanda Sudano
Cash Garner Warren,Honor Warren
William Worrall Mayo,William James Mayo
Roy Jenson,Morgan Jensen
Brian Deegan,Hailie Deegan
Mike Resnick,Laura Resnick
Brendan Gill,Michael Gates Gill
Doyle Bramhall,Doyle Bramhall II
Herbert Putnam,Brenda Putnam
Harvey Mason,"Harvey Mason, Jr."
Sabu Dastagir,Paul Sabu
Danny Ainge,Austin Ainge
Cash Garner Warren,Haven Warren
Cash Garner Warren,Hayes  Warren
William Worrall Mayo,Charles Horace Mayo
Herbert Henry Dow,Alden B. Dow
Gary Allen,Michael Allen
Nelson Aldrich,Richard S. Aldrich
Jeremiah Mason,Robert Means Mason
Rick Dufay,Minka Kelly
Henry Baldwin,Henry Baldwin
Ring Lardner,Ring Lardner
Éleuthère Irénée du Pont,Alfred Victor du Pont
Joseph E. Casey,John Casey
Nelson Aldrich,Abby Aldrich Rockefeller
Nelson Aldrich,Lucy Aldrich
Charles Jenkins Sr.,Charles Jenkins Jr.
Éleuthère Irénée du Pont,Alfred Irénée du Pont
Doug Collins,Chris Collins
Wallace F. Bennett,Bob Bennett
John Wanamaker,Rodman Wanamaker
Joseph E. Casey,Jane Dudley Casey
Glenn Robinson,Glenn Robinson III
Nelson Aldrich,Winthrop Williams Aldrich
Jerry Van Dyke,Kelly Jean Van Dyke
Black Cat,Felicity Hardy
Bronko Nagurski,Bronko Nagurski Jr.
Joe Nemechek,John Hunter Nemechek
Gilbert Roland,Christina Gyl Consuelo Roland
Gilbert Roland,Lorinda Roland
Brendan Gill,Charles Gill
Bruce Hornsby,Keith Hornsby
Michael Bell,Ashley Bell
Quicksilver,Luna
Charlie Scott,Shannon Scott
Matthew Weiner,Marten Holden Weiner
William Zeckendorf,"William Zeckendorf, Jr."
Brian Pillman,Brian Pillman Jr.
Don Murray,Christopher Murray
Hamlin Garland,Mary Isabel Garland
Charles Francis Hall,Anna Sophina Hall
Peter Carl Goldmark,"Peter C. Goldmark, Jr."
Richard Hilton,Nicky Hilton
Martha Wayne,Batman
Derek Shepherd,Zola Grey Shepherd
Hamlin Garland,Constance Hamlin Garland
Laurance Rockefeller,Lucy Aldrich Rockefeller
Stephen Furst,Griff Furst
Harlan F. Stone,Marshall Harvey Stone
Derek Shepherd,Derek Bailey Shepherd
Robert Coldwell Wood,Frank Wood
Owen Daniel Young,Philip Young
Norris Church Mailer,Matthew Norris
Gary David Goldberg,Shana Goldberg-Meehan
Norman Podhoretz,John Podhoretz
Laurance Rockefeller,Marion Rockefeller Weber
Laurance Rockefeller,Laurance Spelman Rockefeller Jr.
Harry Holt,Renee Holt
Gustavus Franklin Swift,Helen Swift Neilson
Wallace Reid,Wallace Reid Jr.
Norris Church Mailer,John Buffalo Mailer
Laurance Rockefeller,Laura Rockefeller Chasin
Gwen Stacy,Sarah Stacy
Martha Wayne,Batman (Earth-Two)
Richard Hilton,Barron Nicholas Hilton
Richard Hilton,Conrad Hughes Hilton
John Haviland,John de Havilland
Stephen Furst,Nathan Furst
Robert Coldwell Wood,Maggie Hassan
Peter Cooper,Edward Cooper
Harvey Spencer Lewis,Ralph Maxwell Lewis
Sam Nunn,Michelle Nunn
Martha Wayne,"Thomas Wayne, Jr."
Gwen Stacy,Gabriel Stacy
Clara Harris,Henry Riggs Rathbone
Cyrus Griffin,Louisa Griffin
Stan Kroenke,Josh Kroenke
Stan Kroenke,Whitney Kroenke Burditt
Richard Morris Hunt,Joseph Rowland Hunt
Isaac Lea,Henry Charles Lea
Edward Albert,Thais Albert
Major Ridge,John Ridge
Dexter Morgan,Harrison Morgan
Robert F. Griggs,David Griggs
Francis Preston Blair,Francis Preston Blair
Francis Preston Blair,Montgomery Blair
George Q. Cannon,Frank J. Cannon
Ira Harris,Clara Harris
Horace Freeland Judson,Olivia Judson
Harriet Jacobs,Louisa Matilda Jacobs
Richard Morris Hunt,Richard Howland Hunt
Isaac Lea,Mathew Carey Lea
Gary Matthews,Gary Matthews Jr.
Alexander Kazhdan,David Kazhdan
Lindsay Frost,Lucas Giolito
Walter Farley,Steven Farley
Francis Preston Blair,Elizabeth Blair Lee
George Q. Cannon,John Q. Cannon
Frank Thomas,Theodore Thomas
George Q. Cannon,Sylvester Q. Cannon
Pinto Colvig,Vance Colvig
"John P. Poe, Sr.",Edgar Allan Poe
George Karl,Coby Karl
Richard Hilton,Paris Hilton
Robert Ginty,James Francis Ginty
Sherry Palmer,Keith Palmer
Belle Baker,Herbert Baker
Keenan Wynn,Tracy Keenan Wynn
Clu Gulager,Tom Gulager
Sherry Palmer,Nicole Palmer
Clu Gulager,John Gulager
George Q. Cannon,Amelia Telle Cannon
George Q. Cannon,Hester Telle Richards
Don Alvarado,Joy Page
Bob Bradley,Michael Bradley
Bess Meredyth,John Meredyth Lucas
Hannah Tompkins,Minthorne Tompkins
Evelyn Nesbit,Russell William Thaw
Barbara Cox Anthony,James C. Kennedy
Bertha Sneck,Carma Hinton
Jack Garfein,Blanche Baker
Richard Henry Dana,Richard Henry Dana
Maria Ewing,Rebecca Hall
John Culver,Chet Culver
Mark Isham,Matthew Isham
Bert Lahr,John Henry Christopher Lahr
George W. Romney,Mitt Romney
Willie Norwood,Brandy Norwood
Robert Alphonso Taft,William Howard Taft III
James Smith Bush,Samuel P. Bush
Anita Morris,James Badge Dale
Victoria Chaplin,James Thiérrée
Jay Roach,Jackson Roach
Alexina Duchamp,Paul Matisse
William Cabell Bruce,David K. E. Bruce
Joel Dorn,Mocean Worker
Robert Alphonso Taft,"Robert Taft, Jr."
Henry Selick,Harry Selick
Betty Washington Lewis,George Washington Lewis
Beulah Quo,Stewart Kwoh
Ossie Davis,Guy Davis
George W. Romney,G. Scott Romney
Floride Calhoun,Anna Maria Calhoun Clemson
Henry Selick,George Selick
Henry Luce,Peter Paul Luce
Barbara Cox Anthony,Blair Parry-Okeden
Betty Washington Lewis,Lawrence Lewis
Ric Ocasek,Eron Otcasek
Joyce Van Patten,Casey King
Kim Darby,Heather Stacy
Ric Ocasek,Christopher Otcasek
Martha Vickers,Maria Christina Rojas
Martha Vickers,Marta Teresa Rojas
Martha Vickers,Teddy Rooney
Hannah Tompkins,Arietta Minthorne Thompson
Bernard Knox,MacGregor Knox
Joyce Van Patten,Talia Balsam
John Astin,Mackenzie Astin
Bob Orton Jr.,Randy Orton
Oliver Ellsworth,William W. Ellsworth
Happy Rockefeller,Mark Rockefeller
Bernie Bickerstaff,J. B. Bickerstaff
John Astin,Sean Astin
Mary Ellen Trainor,Alexander Zemeckis
Guido Münch,Christopher Münch
John Bartram,William Bartram
Oliver Ellsworth,Henry Leavitt Ellsworth
Edwin Reinecke,Thomas G Reinecke
Bert Remsen,Kerry Remsen
Blanche Oelrichs,Diana Barrymore
Brett Somers,Adam Klugman
Ira Aldridge,Amanda Aldridge
Andrea Martin,Joe Dolman
Cara Williams,John Blyth Barrymore
Lindy Boggs,"Thomas Hale Boggs, Jr."
Fulton Oursler,Will Oursler
Kathleen Kennedy Townsend,Kerry Sophia Kennedy Townsend
Ira Aldridge,Luranah Aldridge
Douglas Fairbanks Jr,Daphne Nancy Beth Fairbanks
Douglas Fairbanks Jr,Melissa Louise Fairbanks
Douglas Fairbanks Jr,Victoria Susan Fairbanks
Lindy Boggs,Barbara Boggs Sigmund
Robert Walthour,Robert Walthour Jr.
William J. McConnell,Mary Borah
Andrea Martin,Jack Dolman
Joan Whitney Payson,Q75622502
Betty Mahmoody,Mahtob Mahmoody
André de Toth,Nicolas De Toth
Letitia Stevenson,Lewis Stevenson
Henry Ford II,Anne Ford
Lois Lane,Jonathan Samuel Kent
Lindy Boggs,Cokie Roberts
Cyclops,Cable
Joan Whitney Payson,Lorinda de Roulet
Henry Ford II,Edsel Ford II
Christi Shake,son
Mario Cuomo,Christopher Cuomo
Cyclops,Nate Grey
Eliot Noyes,Eli Noyes
Karl Mayer,Julie Mayer
Lois Griffin,Chris Griffin
Lois Lane,Chris Kent
Joan Davis,Beverly Wills
Muriel Humphrey Brown,Skip Humphrey
Kenneth Noland,Cady Noland
Eduard Prokosch,Frederic Prokosch
Cyclops,Ruby Summers
Mary Cyrene Burch Breckinridge,John Witherspoon Breckinridge
Benjamin Apthorp Gould,Alice Bache Gould
William Dean Howells,John Mead Howells
Beverly Michaels,Christopher Rouse
Lois Griffin,Stewie Griffin
Bernhard Caesar Einstein,Thomas Martin Einstein
John Campbell Merriam,Charles Warren Merriam
Estelle Reiner,Rob Reiner
Rogue,Magnus Lehnsherr
Anna Katharine Green,Roland Rohlfs
Estelle Reiner,Annie Reiner
Michael Parks,James Parks
Caro Dawes,Carolyn Dawes Ericson
Caro Dawes,Dana McCutcheon Dawes
Michael Corleone,Anthony Corleone
Michael Corleone,Mary Corleone
Lois Griffin,Meg Griffin
Henry Ford II,Charlotte M. Ford
Henry Ford II,Edsel Bryant Ford II
Lois Lane,Jon Lane Kent
Jack Elway,John Elway
Mario Cuomo,Andrew Cuomo
DeWitt Clinton,George W. Clinton
Juggernaut,J2
Mario Cuomo,Margaret I. Cuomo
Horton Foote,Hallie Foote
Cyclops,Rachel Summers
Henry Luce,Ann Clare Brokaw
Joan Whitney Payson,Sandra Helen Payson
Ray LaHood,Darin LaHood
Susan Bernard,Joshua John Miller
Susan Kohner,Paul Weitz
Willie Norwood,Ray J
Robert Alphonso Taft,Horace Dwight Taft
Keith Carradine,Sorel Carradine
Henry Luce,Henry Luce
Daria Halprin,Ruthanna Hopper
Marilyn Quayle,Ben Quayle
Barbara Ruick,Joseph Williams
Bernard Edwards,Focus...
Deborah Pratt,Troian Bellisario
Keith Carradine,Martha Plimpton
Bert Ira Gordon,Susan Gordon
Blair Lee I,Edward Brooke Lee
Susan Kohner,Chris Weitz
Duncan L. Hunter,Duncan D. Hunter
Elias Avery Lowe,Beatrice Lowe
Sam Giammalva,"Sammy Giammalva, Jr."
Randy Edelman,Noah D. Edelman
John Breckinridge,Cabell Breckinridge
John Breckinridge,Robert Jefferson Breckinridge
David Widder,Edith Widder
Michael Madigan,Lisa Madigan
Sam Giammalva,Tony Giammalva
